"DateTime","Germany, Base","Germany, Peak"
"2001-02-16 00:00:00",22.91,25.95
"2001-02-17 00:00:00",20.13,21.14
"2001-02-18 00:00:00",15.84,17.97
"2001-02-19 00:00:00",21.21,24.92
"2001-02-20 00:00:00",21.58,25.33
"2001-02-21 00:00:00",21.73,24.57
"2001-02-22 00:00:00",21.95,24.43
"2001-02-23 00:00:00",25.02,29.26
"2001-02-24 00:00:00",23.04,25.68
"2001-02-25 00:00:00",17.81,18.76
"2001-02-26 00:00:00",26.87,32.15
"2001-02-27 00:00:00",31.32,39
"2001-02-28 00:00:00",29.26,34.64
"2001-03-01 00:00:00",39.82,50.49
"2001-03-02 00:00:00",27.64,31.25
"2001-03-03 00:00:00",25.13,27.53
"2001-03-04 00:00:00",18.28,19.57
"2001-03-05 00:00:00",26.31,33.42
"2001-03-06 00:00:00",31.38,40.44
"2001-03-07 00:00:00",26.36,32.55
"2001-03-08 00:00:00",25.44,30.21
"2001-03-09 00:00:00",21.48,22.32
"2001-03-10 00:00:00",19.84,20.98
"2001-03-11 00:00:00",15.68,17.29
"2001-03-12 00:00:00",22.95,26.57
"2001-03-13 00:00:00",18,18.73
"2001-03-14 00:00:00",22.03,24.17
"2001-03-15 00:00:00",22.26,24.64
"2001-03-16 00:00:00",21.55,23.32
"2001-03-17 00:00:00",18.76,20.12
"2001-03-18 00:00:00",14.04,16.07
"2001-03-19 00:00:00",17.76,20.46
"2001-03-20 00:00:00",22.05,25.26
"2001-03-21 00:00:00",20.27,21.02
"2001-03-22 00:00:00",20.75,24.01
"2001-03-23 00:00:00",19.87,21.43
"2001-03-24 00:00:00",17.06,19.25
"2001-03-25 00:00:00",8.94,8.98
"2001-03-26 00:00:00",18.15,22.07
"2001-03-27 00:00:00",22.21,24.81
"2001-03-28 00:00:00",18.27,19.61
"2001-03-29 00:00:00",21.03,23.04
"2001-03-30 00:00:00",22.31,25.35
"2001-03-31 00:00:00",18.37,18.95
"2001-04-01 00:00:00",16.04,16.98
"2001-04-02 00:00:00",25.27,31.55
"2001-04-03 00:00:00",25.55,28.5
"2001-04-04 00:00:00",20.5,21.84
"2001-04-05 00:00:00",22.53,26.03
"2001-04-06 00:00:00",23.77,27.34
"2001-04-07 00:00:00",21.19,22.54
"2001-04-08 00:00:00",17.65,17.69
"2001-04-09 00:00:00",22.53,25.44
"2001-04-10 00:00:00",27.05,30.01
"2001-04-11 00:00:00",25.02,29.99
"2001-04-12 00:00:00",20.95,22.3
"2001-04-13 00:00:00",16.72,16.48
"2001-04-14 00:00:00",19.92,21.71
"2001-04-15 00:00:00",14.78,16.42
"2001-04-16 00:00:00",12.08,12.5
"2001-04-17 00:00:00",27.12,33.52
"2001-04-18 00:00:00",25.64,31.61
"2001-04-19 00:00:00",41.65,52.28
"2001-04-20 00:00:00",26.25,32.62
"2001-04-21 00:00:00",21.97,23.58
"2001-04-22 00:00:00",20.12,20.95
"2001-04-23 00:00:00",33.11,46.18
"2001-04-24 00:00:00",29.95,36.63
"2001-04-25 00:00:00",25.54,29.86
"2001-04-26 00:00:00",24.86,29.46
"2001-04-27 00:00:00",31.86,39.19
"2001-04-28 00:00:00",21.7,22.97
"2001-04-29 00:00:00",17.91,19.14
"2001-04-30 00:00:00",23.02,26
"2001-05-01 00:00:00",15.57,14.58
"2001-05-02 00:00:00",30.1,41.32
"2001-05-03 00:00:00",21.65,25.12
"2001-05-04 00:00:00",21.23,24.89
"2001-05-05 00:00:00",19.73,20.61
"2001-05-06 00:00:00",17.05,18.86
"2001-05-07 00:00:00",24.85,31.76
